root,avg_hit_rate,expected_hits,total_messages,num_edges,small_subtrees_count
h_12,88.23,41738,47304,73,56
h_13,88.23,41738,47304,73,56
h_14,88.17,41708,47304,73,56
h_2,88.09,41671,47304,73,56
h_17,88.03,41641,47304,73,56
h_18,87.85,41558,47304,73,56
h_19,87.64,41458,47304,73,56
h_3,87.15,41224,47304,73,56
h_31,87.12,41210,47304,73,56
h_29,86.97,41141,47304,73,55
h_15,86.91,41111,47304,73,55
h_1,86.83,41073,47304,73,55
h_23,86.57,40950,47304,73,56
h_20,86.44,40890,47304,73,56
h_4,86.16,40757,47304,73,56
h_34,85.85,40613,47304,73,55
h_32,85.85,40613,47304,73,55
h_30,85.67,40527,47304,73,54
h_16,85.61,40497,47304,73,54
h_0,85.53,40460,47304,73,54
h_24,85.45,40422,47304,73,56
h_22,85.14,40276,47304,73,55
h_21,85.14,40276,47304,73,55
h_5,85.00,40209,47304,73,56
h_9,84.96,40189,47304,73,56
h_33,84.56,39999,47304,73,54
h_35,84.56,39999,47304,73,54
h_25,84.29,39874,47304,73,56
h_6,83.80,39641,47304,73,56
h_10,83.70,39592,47304,73,55
h_26,83.09,39307,47304,73,56
h_7,82.50,39028,47304,73,55
h_8,82.50,39028,47304,73,55
h_11,82.40,38978,47304,73,54
h_27,81.83,38709,47304,73,55
h_28,80.53,38096,47304,73,54
